WRFGRID_ID,Longitude,Latitude,
   1,-124.853, 45.22055,      NaN
   2,-124.878, 45.35920,      NaN
   3,-124.902, 45.49785,      NaN
   4,-124.927, 45.63651,      NaN
   5,-124.952, 45.77515,      NaN
   6,-124.977, 45.91378,      NaN
   7,-125.002, 46.05241,      NaN
   8,-125.027, 46.19104,      NaN
   9,-125.052, 46.32966,      NaN
  10,-125.078, 46.46827,      NaN
  11,-125.103, 46.60686,      NaN
  12,-125.129, 46.74545,      NaN
  13,-125.155, 46.88402,      NaN
  14,-125.180, 47.02258,      NaN
  15,-125.206, 47.16113,      NaN
  16,-125.233, 47.29966,      NaN
  17,-125.259, 47.43816,      NaN
  18,-125.285, 47.57667,      NaN
  19,-125.312, 47.71516,      NaN
  20,-125.339, 47.85361,      NaN
  21,-125.366, 47.99207,      NaN
  22,-125.393, 48.13049,      NaN
  23,-125.420, 48.26890,      NaN
  24,-125.447, 48.40728,      NaN
  25,-125.474, 48.54564,      NaN
  26,-125.502, 48.68398,      NaN
  27,-125.530, 48.82230,      NaN
  28,-124.657, 45.23753,      NaN
  29,-124.680, 45.37622,      NaN
  30,-124.705, 45.51492,      NaN
  31,-124.729, 45.65361,      NaN
  32,-124.753, 45.79230,      NaN
  33,-124.777, 45.93098,      NaN
  34,-124.802, 46.06964,      NaN
  35,-124.827, 46.20833,      NaN
  36,-124.851, 46.34697,      NaN
  37,-124.876, 46.48562,      NaN
  38,-124.901, 46.62427,      NaN
  39,-124.926, 46.76289,      NaN
  40,-124.952, 46.90151,      NaN
  41,-124.977, 47.04011,      NaN
  42,-125.003, 47.17870,      NaN
  43,-125.028, 47.31728,      NaN
  44,-125.054, 47.45584,      NaN
  45,-125.080, 47.59439,      NaN
  46,-125.106, 47.73291,      NaN
  47,-125.132, 47.87142,      NaN
  48,-125.159, 48.00991,      NaN
  49,-125.185, 48.14838,      NaN
  50,-125.212, 48.28683,      NaN
  51,-125.238, 48.42526,      NaN
  52,-125.265, 48.56367,      NaN
  53,-125.292, 48.70205,      NaN
  54,-125.320, 48.84041,      NaN
  55,-124.460, 45.25416,      NaN
  56,-124.483, 45.39291,      NaN
  57,-124.507, 45.53164,      NaN
  58,-124.530, 45.67037,      NaN
  59,-124.554, 45.80909,      NaN
  60,-124.578, 45.94782,      NaN
  61,-124.602, 46.08654,      NaN
  62,-124.626, 46.22525,      NaN
  63,-124.650, 46.36395,      NaN
  64,-124.675, 46.50264,      NaN
  65,-124.699, 46.64132,      NaN
  66,-124.724, 46.77999,      NaN
  67,-124.749, 46.91864,      NaN
  68,-124.774, 47.05729,      NaN
  69,-124.799, 47.19593,      NaN
  70,-124.824, 47.33455,      NaN
  71,-124.849, 47.47315,      NaN
  72,-124.875, 47.61174,      NaN
  73,-124.900, 47.75030,      NaN
  74,-124.926, 47.88886,      NaN
  75,-124.952, 48.02740,      NaN
  76,-124.978, 48.16590,      NaN
  77,-125.004, 48.30440,      NaN
  78,-125.030, 48.44288,      NaN
  79,-125.056, 48.58133,      NaN
  80,-125.083, 48.71975,      NaN
  81,-125.109, 48.85815,      NaN
  82,-124.262, 45.27046,      NaN
  83,-124.285, 45.40924,      NaN
  84,-124.308, 45.54802,      NaN
  85,-124.332, 45.68679,      NaN
  86,-124.355, 45.82556,      NaN
  87,-124.378, 45.96432,      NaN
  88,-124.402, 46.10308,      NaN
  89,-124.426, 46.24183,      NaN
  90,-124.449, 46.38058,      NaN
  91,-124.473, 46.51931,      NaN
  92,-124.497, 46.65803,      NaN
  93,-124.521, 46.79674,      NaN
  94,-124.546, 46.93544,      NaN
  95,-124.570, 47.07413,      NaN
  96,-124.595, 47.21280,      NaN
  97,-124.619, 47.35146,      NaN
  98,-124.644, 47.49011,      NaN
  99,-124.669, 47.62874,      NaN
 100,-124.694, 47.76735,      NaN
 101,-124.719, 47.90594,      NaN
 102,-124.744, 48.04453,      NaN
 103,-124.770, 48.18308,      NaN
 104,-124.795, 48.32161,      NaN
 105,-124.821, 48.46013,      NaN
 106,-124.847, 48.59863,      NaN
 107,-124.873, 48.73709,      NaN
