Longitude,Latitude,YearDay
-117.878,47.32,2012245
-117.916,47.356,2012245
-119.781,47.27,2012245
-119.798,47.278,2012245
-120.463,46.448,2012245
-123.203,46.492,2012245
-123.207,46.502,2012245
-123.217,46.49,2012245
-123.221,46.5,2012245
-123.231,46.488,2012245
-117,45.936,2012246
-117.016,45.944,2012246
-117.553,47.386,2012246
-122.658,45.611,2012246
-122.675,45.618,2012246
-122.689,45.616,2012246
-122.963,45.52,2012246
-118.954,46.394,2012247
-118.885,45.847,2012247
-118.896,45.835,2012247
-118.899,45.845,2012247
-120.561,46.435,2012247
-117.001,47.375,2012248
-117.028,47.362,2012248
-117.036,47.331,2012248
-117.04,47.351,2012248
-117.05,47.329,2012248
-118.116,46.132,2012248
-118.118,46.142,2012248
-118.154,46.107,2012248
-118.165,46.096,2012248
-118.177,46.084,2012248
-118.189,46.073,2012248
-118.212,46.05,2012248
-118.252,46.035,2012248
-118.257,46.055,2012248
-118.264,46.024,2012248
-120.477,47.106,2012248
-120.97,48.388,2012248
-122.432,47.024,2012248
-122.44,47.002,2012248
-122.457,47.01,2012248
-122.46,47.02,2012248
-122.471,47.008,2012248
-122.478,47.027,2012248
-122.623,47.015,2012248
-117.016,47.243,2012249
-117.378,46.77,2012249
-120.994,48.365,2012249
-121.491,45.782,2012249
-122.474,47.017,2012249
-122.601,47.038,2012249
-121.491,45.782,2012250
-121.502,45.77,2012250
-121.505,45.78,2012250
-121.523,45.838,2012250
-121.526,45.848,2012250
-121.513,45.758,2012250
-121.516,45.768,2012250
-121.534,45.826,2012250
-121.54,45.846,2012250
-121.554,45.844,2012250
-121.562,45.822,2012250
-117.036,47.462,2012250
-117.024,47.342,2012250
-117.002,47.184,2012250
-118.107,46.153,2012250
-118.156,46.117,2012250
-118.122,45.859,2012250
-118.226,46.109,2012250
-118.726,45.563,2012250
-119.75,45.836,2012250
-120.243,47.067,2012250
-120.255,47.055,2012250
-120.257,47.065,2012250
-120.26,47.075,2012250
-120.269,47.053,2012250
-120.272,47.063,2012250
-120.275,47.073,2012250
-120.283,47.051,2012250
-120.286,47.061,2012250
-120.297,47.049,2012250
-120.973,48.347,2012250
-120.976,48.357,2012250
-121.454,45.757,2012250
-121.465,45.745,2012250
-121.468,45.755,2012250
-121.471,45.765,2012250
-121.474,45.774,2012250
-121.477,45.784,2012250
-121.482,45.753,2012250
-121.485,45.763,2012250
-121.488,45.772,2012250
-121.496,45.751,2012250
-121.499,45.76,2012250
-124.398,47.973,2012250
-119.255,46.427,2012251
-117.333,46.513,2012251
-117.355,45.534,2012251
-120.141,46.351,2012251
-121.499,45.76,2012251
-121.51,45.749,2012251
-121.524,45.747,2012251
-118.236,48.388,2012252
-120.081,46.602,2012252
-120.205,46.727,2012252
-121.502,45.77,2012252
-121.505,45.78,2012252
-121.519,45.778,2012252
-122.36,47.576,2012252
-121.949,45.804,2012252
-121.963,45.802,2012252
-121.369,47.773,2012253
-118.811,48.049,2012253
-118.713,47.505,2012253
-119.063,47.978,2012253
-119.099,47.943,2012253
-119.111,47.931,2012253
-119.408,48.026,2012253
-119.477,47.785,2012253
-119.514,47.81,2012253
-120.047,48.096,2012253
-120.059,48.085,2012253
-120.198,48.198,2012253
-120.226,47.779,2012253
-120.229,47.738,2012253
-120.27,47.773,2012253
-120.225,47.465,2012253
-120.083,46.713,2012253
-120.061,46.584,2012253
-120.08,46.653,2012253
-120.086,46.622,2012253
-120.38,47.434,2012253
-120.583,48.116,2012253
-120.386,47.402,2012253
-120.568,48.017,2012253
-120.46,47.402,2012253
-120.495,47.317,2012253
-120.555,47.471,2012253
-120.544,47.381,2012253
-120.674,47.718,2012253
-120.694,47.533,2012253
-120.994,48.365,2012253
-120.792,47.215,2012253
-120.741,46.348,2012253
-120.93,46.982,2012253
-121.067,46.698,2012253
-121.529,46.143,2012253
-121.545,46.099,2012253
-121.576,46.105,2012253
-121.582,46.124,2012253
-118.629,47.586,2012254
-118.658,47.582,2012254
-118.661,47.592,2012254
-118.704,47.587,2012254
-119.017,47.973,2012254
-119.025,48.003,2012254
-119.024,47.942,2012254
-119.046,47.97,2012254
-119.289,48.031,2012254
-119.334,48.086,2012254
-118.726,45.735,2012254
-118.744,45.804,2012254
-119.333,48.025,2012254
-119.35,48.033,2012254
-119.364,48.032,2012254
-119.381,48.09,2012254
